concept_id,concept_name,domain_id,vocabulary
1633786,AJCC/UICC 8th pathological Stage 4A1,Measurement,Cancer Modifier
1633298,AJCC/UICC 8th pathological Stage 4A2,Measurement,Cancer Modifier
1634487,AJCC/UICC 8th pathological Stage 4B,Measurement,Cancer Modifier
1634551,AJCC/UICC 8th pathological Stage 4C,Measurement,Cancer Modifier
1634337,AJCC/UICC 8th post therapy clinical Stage 3,Measurement,Cancer Modifier
1633490,AJCC/UICC 8th post therapy clinical Stage 3A,Measurement,Cancer Modifier
1635785,AJCC/UICC 8th post therapy clinical Stage 3A1,Measurement,Cancer Modifier
1634999,AJCC/UICC 8th post therapy clinical Stage 3A2,Measurement,Cancer Modifier
1634106,AJCC/UICC 8th post therapy clinical Stage 3B,Measurement,Cancer Modifier
1634910,AJCC/UICC 8th post therapy clinical Stage 3C,Measurement,Cancer Modifier
1634909,AJCC/UICC 8th post therapy clinical Stage 3C1,Measurement,Cancer Modifier
1635554,AJCC/UICC 8th post therapy clinical Stage 3C2,Measurement,Cancer Modifier
1635324,AJCC/UICC 8th post therapy clinical Stage 3D,Measurement,Cancer Modifier
1634358,AJCC/UICC 8th post therapy clinical Stage 4,Measurement,Cancer Modifier
1634330,AJCC/UICC 8th post therapy clinical Stage 4A,Measurement,Cancer Modifier
1633641,AJCC/UICC 8th post therapy clinical Stage 4A1,Measurement,Cancer Modifier
1635818,AJCC/UICC 8th post therapy clinical Stage 4A2,Measurement,Cancer Modifier
1635696,AJCC/UICC 8th post therapy clinical Stage 4B,Measurement,Cancer Modifier
1634908,AJCC/UICC 8th post therapy clinical Stage 4C,Measurement,Cancer Modifier
1634507,AJCC/UICC 8th post therapy pathological Stage 3,Measurement,Cancer Modifier
1634423,AJCC/UICC 8th post therapy pathological Stage 3A,Measurement,Cancer Modifier
1634210,AJCC/UICC 8th post therapy pathological Stage 3A1,Measurement,Cancer Modifier
1635528,AJCC/UICC 8th post therapy pathological Stage 3A2,Measurement,Cancer Modifier
1633868,AJCC/UICC 8th post therapy pathological Stage 3B,Measurement,Cancer Modifier
1634833,AJCC/UICC 8th post therapy pathological Stage 3C,Measurement,Cancer Modifier
1633708,AJCC/UICC 8th post therapy pathological Stage 3C1,Measurement,Cancer Modifier
1634978,AJCC/UICC 8th post therapy pathological Stage 3C2,Measurement,Cancer Modifier
1633389,AJCC/UICC 8th post therapy pathological Stage 3D,Measurement,Cancer Modifier
1635316,AJCC/UICC 8th post therapy pathological Stage 4,Measurement,Cancer Modifier
1635869,AJCC/UICC 8th post therapy pathological Stage 4A,Measurement,Cancer Modifier
1635129,AJCC/UICC 8th post therapy pathological Stage 4A1,Measurement,Cancer Modifier
1633823,AJCC/UICC 8th post therapy pathological Stage 4A2,Measurement,Cancer Modifier
1635488,AJCC/UICC 8th post therapy pathological Stage 4B,Measurement,Cancer Modifier
1635853,AJCC/UICC 8th post therapy pathological Stage 4C,Measurement,Cancer Modifier
1633462,AJCC/UICC 8th Stage 3,Measurement,Cancer Modifier
1633314,AJCC/UICC 8th Stage 3A,Measurement,Cancer Modifier
1633811,AJCC/UICC 8th Stage 3A1,Measurement,Cancer Modifier
1634331,AJCC/UICC 8th Stage 3A2,Measurement,Cancer Modifier
1634395,AJCC/UICC 8th Stage 3B,Measurement,Cancer Modifier
1635126,AJCC/UICC 8th Stage 3C,Measurement,Cancer Modifier
1635437,AJCC/UICC 8th Stage 3C1,Measurement,Cancer Modifier
1634220,AJCC/UICC 8th Stage 3C2,Measurement,Cancer Modifier
1633773,AJCC/UICC 8th Stage 3D,Measurement,Cancer Modifier
1634131,AJCC/UICC 8th Stage 4,Measurement,Cancer Modifier
1635314,AJCC/UICC 8th Stage 4A,Measurement,Cancer Modifier
1634295,AJCC/UICC 8th Stage 4A1,Measurement,Cancer Modifier
1633924,AJCC/UICC 8th Stage 4A2,Measurement,Cancer Modifier
1635518,AJCC/UICC 8th Stage 4B,Measurement,Cancer Modifier
1633316,AJCC/UICC 8th Stage 4C,Measurement,Cancer Modifier
1634876,AJCC/UICC clinical Stage 3,Measurement,Cancer Modifier
1634922,AJCC/UICC clinical Stage 3A,Measurement,Cancer Modifier
1634030,AJCC/UICC clinical Stage 3A1,Measurement,Cancer Modifier
1634232,AJCC/UICC clinical Stage 3A2,Measurement,Cancer Modifier
1635764,AJCC/UICC clinical Stage 3B,Measurement,Cancer Modifier
1634571,AJCC/UICC clinical Stage 3C,Measurement,Cancer Modifier
1633418,AJCC/UICC clinical Stage 3C1,Measurement,Cancer Modifier
1635253,AJCC/UICC clinical Stage 3C2,Measurement,Cancer Modifier
1634297,AJCC/UICC clinical Stage 3D,Measurement,Cancer Modifier
1634447,AJCC/UICC clinical Stage 4,Measurement,Cancer Modifier
1635450,AJCC/UICC clinical Stage 4A,Measurement,Cancer Modifier
1634384,AJCC/UICC clinical Stage 4A1,Measurement,Cancer Modifier
1634350,AJCC/UICC clinical Stage 4A2,Measurement,Cancer Modifier
1634525,AJCC/UICC clinical Stage 4B,Measurement,Cancer Modifier
1635404,AJCC/UICC clinical Stage 4C,Measurement,Cancer Modifier
1635566,AJCC/UICC pathological Stage 3,Measurement,Cancer Modifier
1633519,AJCC/UICC pathological Stage 3A,Measurement,Cancer Modifier
1633303,AJCC/UICC pathological Stage 3A1,Measurement,Cancer Modifier
1635725,AJCC/UICC pathological Stage 3A2,Measurement,Cancer Modifier
1634789,AJCC/UICC pathological Stage 3B,Measurement,Cancer Modifier
1635372,AJCC/UICC pathological Stage 3C,Measurement,Cancer Modifier
1633718,AJCC/UICC pathological Stage 3C1,Measurement,Cancer Modifier
1633961,AJCC/UICC pathological Stage 3C2,Measurement,Cancer Modifier
1634918,AJCC/UICC pathological Stage 3D,Measurement,Cancer Modifier
1634688,AJCC/UICC pathological Stage 4,Measurement,Cancer Modifier
1635232,AJCC/UICC pathological Stage 4A,Measurement,Cancer Modifier
1635365,AJCC/UICC pathological Stage 4A1,Measurement,Cancer Modifier
1634063,AJCC/UICC pathological Stage 4A2,Measurement,Cancer Modifier
1633577,AJCC/UICC pathological Stage 4B,Measurement,Cancer Modifier
1635567,AJCC/UICC pathological Stage 4C,Measurement,Cancer Modifier
1634850,AJCC/UICC post therapy clinical Stage 3,Measurement,Cancer Modifier
1633865,AJCC/UICC post therapy clinical Stage 3A,Measurement,Cancer Modifier
1633821,AJCC/UICC post therapy clinical Stage 3A1,Measurement,Cancer Modifier
1635030,AJCC/UICC post therapy clinical Stage 3A2,Measurement,Cancer Modifier
1634214,AJCC/UICC post therapy clinical Stage 3B,Measurement,Cancer Modifier
1635455,AJCC/UICC post therapy clinical Stage 3C,Measurement,Cancer Modifier
1634441,AJCC/UICC post therapy clinical Stage 3C1,Measurement,Cancer Modifier
1635782,AJCC/UICC post therapy clinical Stage 3C2,Measurement,Cancer Modifier
1635286,AJCC/UICC post therapy clinical Stage 3D,Measurement,Cancer Modifier
1633600,AJCC/UICC post therapy clinical Stage 4,Measurement,Cancer Modifier
1634733,AJCC/UICC post therapy clinical Stage 4A,Measurement,Cancer Modifier
1635574,AJCC/UICC post therapy clinical Stage 4A1,Measurement,Cancer Modifier
1635500,AJCC/UICC post therapy clinical Stage 4A2,Measurement,Cancer Modifier
1634367,AJCC/UICC post therapy clinical Stage 4B,Measurement,Cancer Modifier
1635146,AJCC/UICC post therapy clinical Stage 4C,Measurement,Cancer Modifier
1633837,AJCC/UICC post therapy pathological Stage 3,Measurement,Cancer Modifier
1633381,AJCC/UICC post therapy pathological Stage 3A,Measurement,Cancer Modifier
1635460,AJCC/UICC post therapy pathological Stage 3A1,Measurement,Cancer Modifier
1634164,AJCC/UICC post therapy pathological Stage 3A2,Measurement,Cancer Modifier
1635674,AJCC/UICC post therapy pathological Stage 3B,Measurement,Cancer Modifier
1635325,AJCC/UICC post therapy pathological Stage 3C,Measurement,Cancer Modifier
1633796,AJCC/UICC post therapy pathological Stage 3C1,Measurement,Cancer Modifier
1634140,AJCC/UICC post therapy pathological Stage 3C2,Measurement,Cancer Modifier
1633794,AJCC/UICC post therapy pathological Stage 3D,Measurement,Cancer Modifier
1634077,AJCC/UICC post therapy pathological Stage 4,Measurement,Cancer Modifier
1633860,AJCC/UICC post therapy pathological Stage 4A,Measurement,Cancer Modifier
1633555,AJCC/UICC post therapy pathological Stage 4A1,Measurement,Cancer Modifier
1633385,AJCC/UICC post therapy pathological Stage 4A2,Measurement,Cancer Modifier
1633973,AJCC/UICC post therapy pathological Stage 4B,Measurement,Cancer Modifier
1635801,AJCC/UICC post therapy pathological Stage 4C,Measurement,Cancer Modifier
1633650,AJCC/UICC Stage 3,Measurement,Cancer Modifier
1635855,AJCC/UICC Stage 3A,Measurement,Cancer Modifier
1635412,AJCC/UICC Stage 3A1,Measurement,Cancer Modifier
1634304,AJCC/UICC Stage 3A2,Measurement,Cancer Modifier
1634411,AJCC/UICC Stage 3B,Measurement,Cancer Modifier
1634150,AJCC/UICC Stage 3C,Measurement,Cancer Modifier
1634626,AJCC/UICC Stage 3C1,Measurement,Cancer Modifier
1634556,AJCC/UICC Stage 3C2,Measurement,Cancer Modifier
1633431,AJCC/UICC Stage 3D,Measurement,Cancer Modifier
1633308,AJCC/UICC Stage 4,Measurement,Cancer Modifier
1633439,AJCC/UICC Stage 4A,Measurement,Cancer Modifier
1635355,AJCC/UICC Stage 4A1,Measurement,Cancer Modifier
1635066,AJCC/UICC Stage 4A2,Measurement,Cancer Modifier
1633748,AJCC/UICC Stage 4B,Measurement,Cancer Modifier
1633675,AJCC/UICC Stage 4C,Measurement,Cancer Modifier
