Id,Name,Domain,Vocabulary,include,t1_patological,t2_patological
1634029,AJCC/UICC 7th clinical T2 Category,Measurement,Cancer Modifier,y,,
1635700,AJCC/UICC 7th clinical T2a Category,Measurement,Cancer Modifier,y,,
1635026,AJCC/UICC 7th clinical T2a1 Category,Measurement,Cancer Modifier,y,,
1634993,AJCC/UICC 7th clinical T2a2 Category,Measurement,Cancer Modifier,y,,
1633958,AJCC/UICC 7th clinical T2b Category,Measurement,Cancer Modifier,y,,
1634936,AJCC/UICC 7th clinical T2c Category,Measurement,Cancer Modifier,y,,
1634277,AJCC/UICC 7th clinical T2d Category,Measurement,Cancer Modifier,y,,
1635422,AJCC/UICC 7th pathological T1 Category,Measurement,Cancer Modifier,n,TRUE,FALSE
1633268,AJCC/UICC 7th pathological T1a Category,Measurement,Cancer Modifier,n,TRUE,FALSE
1633680,AJCC/UICC 7th pathological T1a1 Category,Measurement,Cancer Modifier,n,TRUE,FALSE
1634736,AJCC/UICC 7th pathological T1a2 Category,Measurement,Cancer Modifier,n,TRUE,FALSE
1634236,AJCC/UICC 7th pathological T1b Category,Measurement,Cancer Modifier,n,TRUE,FALSE
1634237,AJCC/UICC 7th pathological T1b1 Category,Measurement,Cancer Modifier,n,TRUE,FALSE
1633595,AJCC/UICC 7th pathological T1b2 Category,Measurement,Cancer Modifier,n,TRUE,FALSE
1633287,AJCC/UICC 7th pathological T1b3 Category,Measurement,Cancer Modifier,n,TRUE,FALSE
1635010,AJCC/UICC 7th pathological T1c Category,Measurement,Cancer Modifier,n,TRUE,FALSE
1635048,AJCC/UICC 7th pathological T1c1 Category,Measurement,Cancer Modifier,n,TRUE,FALSE
1634301,AJCC/UICC 7th pathological T1c2 Category,Measurement,Cancer Modifier,n,TRUE,FALSE
1634032,AJCC/UICC 7th pathological T1c3 Category,Measurement,Cancer Modifier,n,TRUE,FALSE
1635469,AJCC/UICC 7th pathological T1d Category,Measurement,Cancer Modifier,n,TRUE,FALSE
1634265,AJCC/UICC 7th pathological T1mi Category,Measurement,Cancer Modifier,n,TRUE,FALSE
1634491,AJCC/UICC 7th pathological T2 Category,Measurement,Cancer Modifier,n,FALSE,TRUE
1633341,AJCC/UICC 7th pathological T2a Category,Measurement,Cancer Modifier,n,FALSE,TRUE
1634765,AJCC/UICC 7th pathological T2a1 Category,Measurement,Cancer Modifier,n,FALSE,TRUE
1635442,AJCC/UICC 7th pathological T2a2 Category,Measurement,Cancer Modifier,n,FALSE,TRUE
1635038,AJCC/UICC 7th pathological T2b Category,Measurement,Cancer Modifier,n,FALSE,TRUE
1635254,AJCC/UICC 7th pathological T2c Category,Measurement,Cancer Modifier,n,FALSE,TRUE
1635342,AJCC/UICC 7th pathological T2d Category,Measurement,Cancer Modifier,n,FALSE,TRUE
1634509,AJCC/UICC 7th post therapy clinical T1 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1633556,AJCC/UICC 7th post therapy clinical T1a Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1633407,AJCC/UICC 7th post therapy clinical T1a1 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635259,AJCC/UICC 7th post therapy clinical T1a2 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635779,AJCC/UICC 7th post therapy clinical T1b Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635353,AJCC/UICC 7th post therapy clinical T1b1 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635178,AJCC/UICC 7th post therapy clinical T1b2 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1634170,AJCC/UICC 7th post therapy clinical T1b3 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1634347,AJCC/UICC 7th post therapy clinical T1c Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1634500,AJCC/UICC 7th post therapy clinical T1c1 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635476,AJCC/UICC 7th post therapy clinical T1c2 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1634695,AJCC/UICC 7th post therapy clinical T1c3 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635683,AJCC/UICC 7th post therapy clinical T1d Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1633814,AJCC/UICC 7th post therapy clinical T1mi Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1634378,AJCC/UICC 7th post therapy clinical T2 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635119,AJCC/UICC 7th post therapy clinical T2a Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1633893,AJCC/UICC 7th post therapy clinical T2a1 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1634929,AJCC/UICC 7th post therapy clinical T2a2 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1634790,AJCC/UICC 7th post therapy clinical T2b Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1633379,AJCC/UICC 7th post therapy clinical T2c Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635407,AJCC/UICC 7th post therapy clinical T2d Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1634684,AJCC/UICC 7th post therapy pathological T1 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
